0.761999845505
         436836 function calls (433877 primitive calls) in 1.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      331    0.001    0.000    0.009    0.000 sre_compile.py:179(_compile_charset)
        7    0.001    0.000    0.003    0.000 pyximport.py:87(get_distutils_extension)
        1    0.001    0.001    0.005    0.005 __init__.py:48(<module>)
        1    0.001    0.001    0.001    0.001 arpack.py:7(<module>)
        1    0.001    0.001    0.002    0.002 transforms.py:30(<module>)
  351/120    0.001    0.000    0.019    0.000 sre_parse.py:302(_parse_sub)
      398    0.001    0.000    0.001    0.000 function_base.py:1644(__init__)
        1    0.001    0.001    0.006    0.006 dist.py:5(<module>)
        1    0.001    0.001    0.003    0.003 iterative.py:1(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:65(<module>)
        1    0.001    0.001    0.002    0.002 numerictypes.py:82(<module>)
        1    0.001    0.001    0.004    0.004 ctypeslib.py:51(<module>)
      104    0.001    0.000    0.007    0.000 _decorator2.py:135(make)
        1    0.001    0.001    0.002    0.002 legend.py:13(<module>)
        1    0.001    0.001    0.001    0.001 pyximport.py:48(<module>)
        1    0.001    0.001    0.003    0.003 index_tricks.py:1(<module>)
        2    0.001    0.001    0.001    0.001 {nt.urandom}
        1    0.001    0.001    0.003    0.003 __init__.py:17(<module>)
        1    0.001    0.001    0.010    0.010 Image.py:27(<module>)
        1    0.001    0.001    0.036    0.036 backend_qt4agg.py:3(<module>)
        1    0.001    0.001    0.017    0.017 core.py:7(<module>)
     2028    0.001    0.000    0.003    0.000 numeric.py:464(asanyarray)
        1    0.001    0.001    0.003    0.003 config.py:5(<module>)
        1    0.001    0.001    0.004    0.004 random.py:40(<module>)
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
     2385    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x000000001E29D0E0}
        1    0.001    0.001    0.001    0.001 flinalg.py:5(<module>)
        1    0.001    0.001    0.002    0.002 msvc9compiler.py:8(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:31(<module>)
      120    0.001    0.000    0.005    0.000 sre_compile.py:362(_compile_info)
        7    0.001    0.000    0.028    0.004 build_ext.py:173(cython_sources)
      137    0.001    0.000    0.001    0.000 {nt.putenv}
      171    0.001    0.000    0.044    0.000 re.py:226(_compile)
        1    0.001    0.001    0.005    0.005 artist.py:1(<module>)
        1    0.001    0.001    0.006    0.006 _ellip_harm.py:1(<module>)
        1    0.001    0.001    0.009    0.009 font_manager.py:21(<module>)
        7    0.001    0.000    0.004    0.001 fnmatch.py:45(filter)
      203    0.001    0.000    0.001    0.000 utils.py:69(__call__)
      104    0.001    0.000    0.002    0.000 _decorator2.py:77(__init__)
        1    0.001    0.001    0.009    0.009 dag.py:2(<module>)
        1    0.001    0.001    0.002    0.002 _pylab_helpers.py:3(<module>)
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
        1    0.001    0.001    0.001    0.001 loader.py:1(<module>)
        1    0.001    0.001    0.012    0.012 tokenize.py:23(<module>)
        1    0.001    0.001    0.010    0.010 pyparsing.py:58(<module>)
        1    0.001    0.001    0.004    0.004 rcsetup.py:15(<module>)
     2024    0.001    0.000    0.006    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.033    0.033 basic.py:5(<module>)
        1    0.001    0.001    0.002    0.002 fancy_getopt.py:9(<module>)
        1    0.001    0.001    0.003    0.003 msvccompiler.py:5(<module>)
        1    0.001    0.001    0.004    0.004 csr.py:1(<module>)
        1    0.001    0.001    0.001    0.001 npyio.py:1(<module>)
        1    0.001    0.001    0.002    0.002 Errors.py:5(<module>)
      407    0.001    0.000    0.004    0.000 artist.py:911(get_valid_values)
        1    0.001    0.001    0.032    0.032 nonlin.py:110(<module>)
        1    0.001    0.001    0.003    0.003 cm.py:6(<module>)
        1    0.001    0.001    0.002    0.002 dis.py:1(<module>)
     3138    0.001    0.000    0.001    0.000 sre_parse.py:196(match)
       16    0.001    0.000    0.001    0.000 {open}
        1    0.001    0.001    0.001    0.001 random.py:72(Random)
        1    0.001    0.001    0.001    0.001 matfuncs.py:5(<module>)
        1    0.001    0.001    0.001    0.001 backend_bases.py:1531(FigureCanvasBase)
        1    0.001    0.001    0.003    0.003 triangulation.py:1(<module>)
        1    0.001    0.001    0.002    0.002 Lexicons.py:9(<module>)
        1    0.001    0.001    0.033    0.033 _root.py:7(<module>)
        2    0.001    0.000    0.002    0.001 __init__.py:6(<module>)
        1    0.001    0.001    0.001    0.001 afm.py:34(<module>)
        1    0.001    0.001    0.005    0.005 build_ext.py:5(<module>)
        1    0.001    0.001    0.004    0.004 patches.py:3(<module>)
        1    0.001    0.001    0.001    0.001 mstats.py:74(<module>)
        1    0.001    0.001    0.001    0.001 fromnumeric.py:3(<module>)
       11    0.001    0.000    0.011    0.001 artist.py:1018(pprint_setters)
        7    0.001    0.000    0.234    0.033 cygwinccompiler.py:405(get_versions)
        1    0.001    0.001    0.031    0.031 formlayout.py:34(<module>)
        3    0.001    0.000    0.001    0.000 {nt.open}
        1    0.001    0.001    0.003    0.003 __init__.py:8(<module>)
        1    0.001    0.001    0.002    0.002 parser.py:7(<module>)
        1    0.001    0.001    0.001    0.001 table.py:144(Table)
        1    0.001    0.001    0.007    0.007 cmd.py:5(<module>)
       66    0.001    0.000    0.001    0.000 cm.py:31(revcmap)
        1    0.001    0.001    0.001    0.001 axis.py:3(<module>)
        1    0.001    0.001    0.001    0.001 backend_agg.py:21(<module>)
      120    0.001    0.000    0.020    0.000 sre_parse.py:676(parse)
     1176    0.001    0.000    0.001    0.000 {hasattr}
        1    0.001    0.001    0.038    0.038 type_check.py:3(<module>)
      104    0.001    0.000    0.010    0.000 _decorator2.py:164(create)
        1    0.001    0.001    0.001    0.001 odepack.py:2(<module>)
     1453    0.001    0.000    0.001    0.000 artist.py:973(is_alias)
        1    0.001    0.001    0.001    0.001 __init__.py:5(<module>)
      592    0.001    0.000    0.001    0.000 {abs}
        1    0.001    0.001    0.001    0.001 morestats.py:5(<module>)
      130    0.001    0.000    0.001    0.000 pyparsing.py:723(__init__)
      120    0.001    0.000    0.042    0.000 sre_compile.py:496(compile)
      203    0.001    0.000    0.002    0.000 utils.py:113(deprecate)
        1    0.001    0.001    0.001    0.001 util.py:5(<module>)
     2024    0.000    0.000    0.005    0.000 _methods.py:37(_any)
      104    0.000    0.000    0.011    0.000 _decorator2.py:186(decorator)
        1    0.000    0.000    0.001    0.001 polynomial.py:55(<module>)
      282    0.000    0.000    0.002    0.000 function_base.py:3251(add_newdoc)
     1472    0.000    0.000    0.001    0.000 sre_parse.py:139(append)
        1    0.000    0.000    0.001    0.001 core.py:21(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.003    0.003 compressed.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ticker.py:123(<module>)
        1    0.000    0.000    0.002    0.002 Shadow.py:2(<module>)
        9    0.000    0.000    0.000    0.000 {nt.listdir}
        1    0.000    0.000    0.001    0.001 tz.py:6(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:52(<module>)
        1    0.000    0.000    0.031    0.031 figureoptions.py:8(<module>)
       19    0.000    0.000    0.000    0.000 {nt._isdir}
      369    0.000    0.000    0.001    0.000 sre_compile.py:355(_simple)
       60    0.000    0.000    0.001    0.000 version.py:268(parse)
     2653    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       70    0.000    0.000    0.001    0.000 util.py:245(split_quoted)
1560/1553    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.002    0.002 pyplot.py:2057(_setup_pyplot_info_docstrings)
